class_id,class_name,brand,model,body_style,year,seats,segment,price_million_vnd,fuel_l_per_100km,data_source
1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,7,economy,588.5,13.2,derived+simulated
2,Acura RL Sedan 2012,Acura,RL,Sedan,2012,5,luxury,1800.0,8.6,derived+simulated
3,Acura TL Sedan 2012,Acura,TL,Sedan,2012,5,luxury,1800.0,8.6,derived+simulated
4,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,5,luxury,1660.3,9.2,derived+simulated
5,Acura TSX Sedan 2012,Acura,TSX,Sedan,2012,5,luxury,1800.0,8.6,derived+simulated
6,Acura Integra Type R 2001,Acura,Integra Type R,Coupe,2001,4,luxury,1729.6,12.9,derived+simulated
7,Acura ZDX Hatchback 2012,Acura,ZDX,Hatchback,2012,5,luxury,1530.0,7.5,derived+simulated
8,Aston Martin V8 Vantage Convertible 2012,Aston Martin,V8 Vantage,Convertible,2012,4,exotic,16200.0,16.0,derived+simulated
9,Aston Martin V8 Vantage Coupe 2012,Aston Martin,V8 Vantage,Coupe,2012,4,exotic,14400.0,15.2,derived+simulated
10,Aston Martin Virage Convertible 2012,Aston Martin,Virage,Convertible,2012,4,exotic,16200.0,16.0,derived+simulated
11,Aston Martin Virage Coupe 2012,Aston Martin,Virage,Coupe,2012,4,exotic,14400.0,15.2,derived+simulated
12,Audi RS 4 Convertible 2008,Audi,RS 4,Convertible,2008,4,luxury,2241.4,12.2,derived+simulated
13,Audi A5 Coupe 2012,Audi,A5,Coupe,2012,4,luxury,2160.0,10.9,derived+simulated
14,Audi TTS Coupe 2012,Audi,TTS,Coupe,2012,4,luxury,2160.0,10.9,derived+simulated
15,Audi R8 Coupe 2012,Audi,R8,Coupe,2012,2,luxury,2160.0,10.9,derived+simulated
16,Audi V8 Sedan 1994,Audi,V8,Sedan,1994,5,luxury,1251.2,11.3,derived+simulated
17,Audi 100 Sedan 1994,Audi,100,Sedan,1994,5,luxury,1251.2,11.3,derived+simulated
18,Audi 100 Wagon 1994,Audi,100,Wagon,1994,5,luxury,1313.8,12.0,derived+simulated
19,Audi TT Hatchback 2011,Audi,TT,Hatchback,2011,5,luxury,1499.4,7.6,derived+simulated
